Open,High,Low,Close,Volume,AdjustedClose,Ticker,Date
39.072,39.516,38.406,29.860001,76935100,22.858255,MSFT,2007-01-03 00:00:00
38.797,39.15,38.458,29.809999,45774500,22.819975,MSFT,2007-01-04 00:00:00
38.706,38.863,38.471,29.639999,44607200,22.689837,MSFT,2007-01-05 00:00:00
38.732,39.32,38.575,29.93,50220200,22.911842,MSFT,2007-01-08 00:00:00
39.189,39.424,38.837,29.959999,44636600,22.934803,MSFT,2007-01-09 00:00:00
38.928,39.046,38.445,29.66,55017400,22.705147,MSFT,2007-01-10 00:00:00
38.876,40.169,38.732,30.700001,99464300,23.501284,MSFT,2007-01-11 00:00:00
40.038,41.005,40.025,31.209999,103972500,23.891691,MSFT,2007-01-12 00:00:00
40.835,41.084,40.535,31.16,62379600,23.853415,MSFT,2007-01-16 00:00:00
40.835,41.07,40.509,31.1,58519600,23.807491,MSFT,2007-01-17 00:00:00
40.692,40.979,40.234,31,56364300,23.73094,MSFT,2007-01-18 00:00:00
40.143,40.639,40.091,31.110001,75826900,23.815149,MSFT,2007-01-19 00:00:00
40.574,40.652,39.856,30.719999,56143900,23.516594,MSFT,2007-01-22 00:00:00
40.012,40.443,39.869,30.74,49171200,23.53191,MSFT,2007-01-23 00:00:00
40.208,40.888,40.038,31.09,58527800,23.799833,MSFT,2007-01-24 00:00:00
40.6,41.123,39.777,30.450001,97378700,23.30991,MSFT,2007-01-25 00:00:00
40.783,40.796,39.973,30.6,96103700,23.424738,MSFT,2007-01-26 00:00:00
40.038,40.208,39.633,30.530001,57605900,23.371151,MSFT,2007-01-29 00:00:00
39.934,40.025,39.372,30.48,61900400,23.33287,MSFT,2007-01-30 00:00:00
39.725,40.626,39.647,30.860001,73968400,23.623768,MSFT,2007-01-31 00:00:00
40.287,40.417,39.673,30.559999,55355800,23.394112,MSFT,2007-02-01 00:00:00
40.261,40.287,39.359,30.190001,60401700,23.11087,MSFT,2007-02-02 00:00:00
39.15,39.215,38.419,29.610001,99102100,22.666872,MSFT,2007-02-05 00:00:00
38.654,38.863,38.17,29.51,79281100,22.590324,MSFT,2007-02-06 00:00:00
38.719,38.797,38.21,29.370001,65145500,22.48315,MSFT,2007-02-07 00:00:00
38.197,38.928,38.144,29.26,48749e3,22.398945,MSFT,2007-02-08 00:00:00
38.34,38.406,37.792,28.98,69823100,22.184608,MSFT,2007-02-09 00:00:00
37.739,38.001,37.661,28.940001,52774400,22.153986,MSFT,2007-02-12 00:00:00
37.804,38.012,37.7,29.01,50348100,22.284569,MSFT,2007-02-13 00:00:00
37.973,38.65,37.947,29.4,55588600,22.584154,MSFT,2007-02-14 00:00:00
38.507,38.598,38.039,29.459999,63858100,22.630243,MSFT,2007-02-15 00:00:00
37.635,37.674,37.296,28.74,109340300,22.077166,MSFT,2007-02-16 00:00:00
37.27,37.57,37.062,28.83,53978200,22.146303,MSFT,2007-02-20 00:00:00
37.427,38.26,37.414,29.35,68604900,22.545748,MSFT,2007-02-21 00:00:00
38.156,38.455,37.96,29.389999,57754400,22.576471,MSFT,2007-02-22 00:00:00
38.039,38.117,37.609,28.9,63787100,22.200073,MSFT,2007-02-23 00:00:00
37.7,37.869,37.518,29.07,63481900,22.330654,MSFT,2007-02-26 00:00:00
37.375,37.713,36.177,27.870001,87143300,21.408865,MSFT,2007-02-27 00:00:00
36.385,36.776,36.346,28.17,86333300,21.639307,MSFT,2007-02-28 00:00:00
36.216,36.88,36.099,28.09,80175700,21.577854,MSFT,2007-03-01 00:00:00
36.476,36.659,36.138,27.76,63254700,21.324358,MSFT,2007-03-02 00:00:00
35.786,36.333,35.682,27.549999,56454300,21.163038,MSFT,2007-03-05 00:00:00
36.19,36.372,35.995,27.83,49361800,21.378124,MSFT,2007-03-06 00:00:00
36.138,36.32,35.865,27.610001,52044700,21.209135,MSFT,2007-03-07 00:00:00
36.086,36.255,34.628,27.32,72175200,20.986366,MSFT,2007-03-08 00:00:00
35.695,35.773,35.188,27.290001,80125e3,20.963326,MSFT,2007-03-09 00:00:00
35.383,35.773,35.318,27.440001,36516400,21.078547,MSFT,2007-03-12 00:00:00
35.474,35.669,34.771,26.719999,75169500,20.525459,MSFT,2007-03-13 00:00:00
34.914,35.669,34.797,27.4,75730300,21.047821,MSFT,2007-03-14 00:00:00
35.565,35.76,35.409,27.280001,51757100,20.955639,MSFT,2007-03-15 00:00:00
35.604,35.773,35.409,27.33,65055300,20.994047,MSFT,2007-03-16 00:00:00
35.591,36.229,35.409,27.83,49412e3,21.378124,MSFT,2007-03-19 00:00:00
36.359,36.659,36.138,27.84,47902400,21.385809,MSFT,2007-03-20 00:00:00
36.32,37.127,35.878,28.52,72808200,21.908165,MSFT,2007-03-21 00:00:00
37.127,37.166,36.463,28.27,47934900,21.716125,MSFT,2007-03-22 00:00:00
36.737,36.802,36.19,28.02,50519800,21.524082,MSFT,2007-03-23 00:00:00
36.372,36.737,36.06,28.219999,47491500,21.677721,MSFT,2007-03-26 00:00:00
36.502,36.659,35.995,27.719999,58979800,21.293638,MSFT,2007-03-27 00:00:00
35.904,36.45,35.669,27.639999,46947e3,21.232178,MSFT,2007-03-28 00:00:00
36.242,36.255,35.786,27.75,42629900,21.316677,MSFT,2007-03-29 00:00:00
36.125,36.385,35.799,27.870001,47061e3,21.408865,MSFT,2007-03-30 00:00:00
36.307,36.359,35.878,27.74,41977600,21.309002,MSFT,2007-04-02 00:00:00
36.268,36.528,36.125,27.870001,39821300,21.408865,MSFT,2007-04-03 00:00:00
36.463,37.466,36.32,28.5,63244200,21.892799,MSFT,2007-04-04 00:00:00
36.867,37.297,36.841,28.549999,30131200,21.931211,MSFT,2007-04-05 00:00:00
37.205,37.388,36.958,28.57,31384600,21.946575,MSFT,2007-04-09 00:00:00
37.101,37.283,36.737,28.4,38643100,21.815983,MSFT,2007-04-10 00:00:00
36.841,37.192,36.437,28.110001,44050200,21.593218,MSFT,2007-04-11 00:00:00
36.528,37.257,36.502,28.540001,43762100,21.923531,MSFT,2007-04-12 00:00:00
37.01,37.362,36.581,28.610001,36002900,21.977306,MSFT,2007-04-13 00:00:00
37.231,37.427,36.724,28.73,30740100,22.069485,MSFT,2007-04-16 00:00:00
37.27,37.609,37.179,28.85,33170200,22.161667,MSFT,2007-04-17 00:00:00
37.244,37.323,36.919,28.6,41778400,21.969622,MSFT,2007-04-18 00:00:00
36.893,37.609,36.789,28.690001,43648800,22.038755,MSFT,2007-04-19 00:00:00
37.726,37.882,37.362,29.02,60311500,22.292248,MSFT,2007-04-20 00:00:00
37.7,37.739,37.323,28.780001,41739100,22.107891,MSFT,2007-04-23 00:00:00
37.479,37.7,37.218,28.790001,34236700,22.115576,MSFT,2007-04-24 00:00:00
37.57,37.752,37.349,28.99,39475e3,22.269207,MSFT,2007-04-25 00:00:00
37.869,38.208,37.635,29.1,68760300,22.353704,MSFT,2007-04-26 00:00:00
39.275,40.017,39.054,30.120001,128298800,23.137232,MSFT,2007-04-27 00:00:00
39.223,39.536,38.976,29.940001,67788800,22.998968,MSFT,2007-04-30 00:00:00
38.976,39.601,38.924,30.4,73539300,23.352333,MSFT,2007-05-01 00:00:00
